预测值：0.5781944443999999 真实值：0.573888889 误差：0.750241986302%
预测值：0.56540555552 真实值：0.557222222 误差：1.46859425143%
预测值：0.5115000000000001 真实值：0.53 误差：3.49056603774%
预测值：0.5814888889 真实值：0.596666667 误差：2.54376169132%
预测值：0.5485347223374999 真实值：0.538888889 误差：1.78994845401%
预测值：0.6320555556 真实值：0.647222222 误差：2.34334759909%
预测值：0.5574037037666666 真实值：0.55 误差：1.34612795758%
预测值：0.6273148148333334 真实值：0.61 误差：2.83849423497%
预测值：0.5778247356333333 真实值：0.579444444 误差：0.279527810377%
预测值：0.5668611109999999 真实值：0.555555556 误差：2.03499989837%
预测值：0.6245555557 真实值：0.633333333 误差：1.38596483757%
预测值：0.6154305555499999 真实值：0.615555556 误差：0.0203069322958%
预测值：0.6135426587875 真实值：0.618333333 误差：0.774772110256%
预测值：0.6364675926750001 真实值：0.646111111 误差：1.49254797833%
预测值：0.5890489418214286 真实值：0.595 误差：1.00017784514%
预测值：0.614230555465 真实值：0.646666667 误差：5.01589353375%
预测值：0.5844722224333333 真实值：0.602222222 误差：2.9474169033%
预测值：0.5840333333000001 真实值：0.6 误差：2.66111111667%
预测值：0.4794999999999999 真实值：0.463333333 误差：3.48920870755%
预测值：0.63523611125 真实值：0.656666667 误差：3.26353640697%
预测值：0.5456129630000001 真实值：0.558333333 误差：2.27827522524%
预测值：0.5678240741333334 真实值：0.561666667 误差：1.09627426641%
预测值：0.6439574072733333 真实值：0.663888889 误差：3.00223155665%
预测值：0.5815092591666667 真实值：0.602777778 误差：3.52841786967%
预测值：0.6011640212166667 真实值：0.62 误差：3.03806109409%
预测值：0.60621666674 真实值：0.62 误差：2.22311826774%
预测值：0.6304018519000001 真实值：0.682777778 误差：7.67100626113%
预测值：0.5877430555500001 真实值：0.612777778 误差：4.08544881176%
预测值：0.5602962962 真实值：0.567777778 误差：1.31767781162%
预测值：0.5661944445 真实值：0.58 误差：2.38026818966%
预测值：0.6433009260666667 真实值：0.635555556 误差：1.21867710754%
预测值：0.54213095265 真实值：0.536111111 误差：1.12287201785%
预测值：0.6247314816500001 真实值：0.636111111 误差：1.78893736538%
预测值：0.4954999999 真实值：0.468333333 误差：5.80071179772%
预测值：0.5922499999 真实值：0.61 误差：2.90983608197%
预测值：0.6096574074333334 真实值：0.626111111 误差：2.62792071209%
预测值：0.616182936465 真实值：0.640555556 误差：3.8049189187%
预测值：0.557244444515 真实值：0.588333333 误差：5.28423034039%
预测值：0.6280462963833334 真实值：0.636666667 误差：1.3539849129%
预测值：0.6447685186333334 真实值：0.651111111 误差：0.974118281736%
预测值：0.5234999999000001 真实值：0.498333333 误差：5.05016727428%
预测值：0.5437500001000001 真实值：0.560555556 误差：2.99801789851%
预测值：0.5781333335400001 真实值：0.576666667 误差：0.254335238003%
平均误差：2.50121576713%
